Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52380207,Trouble the Saints,Alaya Dawn Johnson,"Johnson, Alaya Dawn",,"=""1250175348""","=""9781250175342""",0,Tor Books,Hardcover,352,2020,2020,,2020/08/10,to-read,to-read (#107),to-read,,,,0,0
51542370,Pew,Catherine Lacey,"Lacey, Catherine",,"=""0374230927""","=""9780374230920""",0,"Farrar, Straus and Giroux",Hardcover,224,2020,2020,,2020/08/10,to-read,to-read (#106),to-read,,,,0,0
18007535,The Winter People,Jennifer  McMahon,"McMahon, Jennifer",,"=""0385538499""","=""9780385538497""",0,Doubleday,Hardcover,317,2014,2014,,2020/08/09,to-read,to-read (#105),to-read,,,,0,0
50714359,The Unfair Advantage: How You Already Have What It Takes to Succeed,Ash Ali,"Ali, Ash",Hasan Kubba,"=""1788163311""","=""9781788163316""",0,Profile Books,Hardcover,256,2020,,,2020/08/09,to-read,to-read (#104),to-read,,,,0,0
42121525,Migrations,Charlotte McConaghy,"McConaghy, Charlotte",,"=""125020402X""","=""9781250204028""",0,Flatiron Books,Hardcover,259,2020,2020,,2020/08/09,to-read,to-read (#103),to-read,,,,0,0
16284965,24/7: Late Capitalism and the Ends of Sleep,Jonathan Crary,"Crary, Jonathan",,"=""1781680930""","=""9781781680933""",0,Verso,Hardcover,144,2013,2013,,2020/08/08,to-read,to-read (#102),to-read,,,,0,0
9850443,The Sisters Brothers,Patrick deWitt,"deWitt, Patrick",,"=""0062041266""","=""9780062041265""",4,Ecco,Hardcover,328,2011,2011,2020/08/07,2020/07/31,,,read,,,,1,0
72579,Alias Grace,Margaret Atwood,"Atwood, Margaret",,"=""0385475713""","=""9780385475716""",0,Doubleday Nan A. Talese,Hardcover,468,1996,1996,,2020/08/02,to-read,to-read (#101),to-read,,,,0,0
50534595,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura Miller,"=""""","=""""",4,Penguin Classics,Kindle Edition,158,2006,1959,2020/07/31,2020/07/29,,,read,"v good writing, not v scary",,,1,0
127227,The Human Condition,Hannah Arendt,"Arendt, Hannah",Margaret Canovan,"=""0226025985""","=""9780226025988""",0,The University of Chicago Press,Paperback,349,1998,1958,,2020/07/30,to-read,to-read (#100),to-read,,,,0,0
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""0525522131""","=""9780525522133""",3,Penguin Books,Paperback,289,2019,2018,2020/07/27,2020/06/29,,,read,3.5 stars,,,1,0
43126457,Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,"Tolentino, Jia",,"=""0525510540""","=""9780525510543""",0,Random House,Hardcover,303,2019,2019,,2020/07/26,to-read,to-read (#99),to-read,,,,0,0
10357675,A First-Rate Madness: Uncovering the Links Between Leadership and Mental Illness,S. Nassir Ghaemi,"Ghaemi, S. Nassir",,"=""1594202958""","=""9781594202957""",0,Penguin Press,Hardcover,340,2011,2011,,2020/07/24,to-read,to-read (#98),to-read,,,,0,0
23719305,How Emotions Are Made: The Secret Life of the Brain,Lisa Feldman Barrett,"Barrett, Lisa Feldman",,"=""0544133315""","=""9780544133310""",0,Houghton Mifflin Harcourt,Hardcover,425,2017,2017,,2020/07/21,to-read,to-read (#97),to-read,,,,0,0
29543,Creator,Jeremy Leven,"Leven, Jeremy",,"=""0595179614""","=""9780595179619""",0,Iuniverse Inc,Paperback,496,2001,1980,,2020/07/21,to-read,to-read (#96),to-read,,,,0,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,Beacon Press,Paperback,165,2006,1946,2020/07/21,2020/05/30,,,read,,,,1,0
38819529,"The Hobbit (Middle Earth, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",4,Houghton Mifflin Harcourt,Kindle Edition,297,2012,1937,2020/07/18,2019/07/29,,,read,,,,1,0
36348525,Severance,Ling  Ma,"Ma, Ling",,"=""0374261598""","=""9780374261597""",0,"Farrar, Straus and Giroux",Hardcover,291,2018,2018,,2020/07/18,to-read,to-read (#95),to-read,,,,0,0
10322322,Bødy,Asa Nonami,"Nonami, Asa",,"=""1934287377""","=""9781934287378""",0,Vertical,Paperback,192,2012,1999,,2020/07/18,to-read,to-read (#94),to-read,,,,0,0
52854193,The Answer Is…: Reflections on My Life,Alex Trebek,"Trebek, Alex",,"=""""","=""""",0,Simon & Schuster,Hardcover,304,2020,2020,,2020/07/17,to-read,to-read (#93),to-read,,,,0,0
40121985,How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr,"Immerwahr, Daniel",,"=""0374172145""","=""9780374172145""",0,"Farrar, Straus and Giroux",Hardcover,513,2019,2019,,2020/07/15,to-read,to-read (#92),to-read,,,,0,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,Celadon Books,Hardcover,336,2019,2019,,2020/07/15,to-read,to-read (#91),to-read,,,,0,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",0,Ember,Paperback,208,2006,1993,,2020/07/15,,,read,,,,1,0
9553383,A History of the World in 100 Objects,Neil MacGregor,"MacGregor, Neil",,"=""1846144132""","=""9781846144134""",0,Allen Lane,Hardcover,707,2010,2010,,2020/07/14,to-read,to-read (#90),to-read,,,,0,0
43330226,A Compassionate Guide For Social Robots,Marcel Heerink,"Heerink, Marcel",,"=""9082977907""","=""9789082977905""",0,E3,Paperback,231,2018,,,2020/07/14,to-read,to-read (#89),to-read,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2020/07/14,to-read,to-read (#88),to-read,,,,0,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",0,Random House,Hardcover,372,2018,2018,,2020/07/14,to-read,to-read (#87),to-read,,,,0,0
41717572,So You Want to Talk About Race,Ijeoma Oluo,"Oluo, Ijeoma",,"=""1580058825""","=""9781580058827""",0,Seal Press,Paperback,256,2019,2018,2020/07/14,2020/06/05,,,read,,,,1,0
17887932,"Philosophy 101: From Plato and Socrates to Ethics and Metaphysics, an Essential Primer on the History of Thought (Adams 101 Series)",Paul Kleinman,"Kleinman, Paul",,"=""1440567670""","=""9781440567674""",1,Adams Media,Hardcover,288,2013,2013,2020/07/13,2020/06/28,,,read,"there was only one chapter on eastern philosophy, which included one paragraph on confucianism. and in that one paragraph the author said that ""Confucius created the ... notion of Yin Yang"". amazing. are u kidding me. <br/><br/>this book is so dry. there are so many unnecessary details but also so much important stuff left out at the same time. i thought philosophy was about thinking for yourself and making your own conclusions; the author does not encourage any of that.<br/><br/>also the chapter order makes no sense at all i'm pretty sure the order is random. there are 54 chapters. the 50th chapter deals with ethics. shouldn't that be one of the first chapters?? i don't understand how it goes Pre-Socratic --> Socrates --> Plato --> Aristotle, which makes perfect, LOGICAL sense, and then jumps to francis bacon, hume, BACK to st. aquinas, flash forward to rousseau, kant, stepping back 100 years to locke, 100 mOre years backwards to descartes and hobbes, then (finally) formally introducing metaphysics (????), followed by jumping 300 years to sartre (-1980), backtracking AGAIN to a chapter on the enlightenment, giving me whiplash by immediately jumping to nietzsche (-1900) in the very next chapter, then introducing epistemology (the study OF KNOWLEDGE) in the 38TH CHAPTER, then schopenhauer and marx and heidegger (all 3 of which are actually in chronological order), immediately followed by voltaire, who lived before all three of those german dudes, and then one chapter on eastern philosophy (couldn't he have broken it up even a little bit?), then going to the year 980 with avicenna, then JUMPING AGAIN all the freaNKINGHTDEONEHUODH way to bertrand russell who died in 1970, then lightly touching on phenomenology, ethics, philosophy of science, spinoza (for some reason being the 2nd to last chapter), before finishing with a chapter on the philosophy of religion. WHY. the nonsense ordering goes to the last chapter. it would make infinitely more sense for the philosophy of religion to be the first chapter instead. why not talk about the future of philosophy at the end? <br/><br/>here is what it says in the book description:<br/><blockquote>Philosophy 101 cuts out the boring details and exhausting philosophical methodology, and instead, gives you a lesson in philosophy that keeps you engaged as you explore the fascinating history of human thought and inquisition.</blockquote><br/>incorrect.<br/><br/>since almost everyone reading this book will be new to philosophy, it's important for this book to be engaging, unbiased, and accurate in order to give those reading a good foundation on which to build their philosophical knowledge.<br/><br/>what a terrible fucking booK",,,1,0
6988014,Seven Days in the Art World,Sarah Thornton,"Thornton, Sarah",,"=""039333712X""","=""9780393337129""",0,W. W. Norton & Company,Paperback,320,2009,2008,,2020/07/13,to-read,to-read (#86),to-read,,,,0,0
45892207,The Boatman's Daughter,Andy  Davidson,"Davidson, Andy",,"=""0374538557""","=""9780374538552""",0,MCD x FSG Originals,Paperback,403,2020,2020,,2020/07/13,to-read,to-read (#85),to-read,,,,0,0
51285749,"The Book of Koli (Rampart Trilogy, #1)",M.R. Carey,"Carey, M.R.",,"=""0316477532""","=""9780316477536""",0,Orbit,Paperback,416,2020,2020,,2020/07/13,to-read,to-read (#84),to-read,,,,0,0
41459037,The Lesson,Cadwell Turnbull,"Turnbull, Cadwell",,"=""1538584646""","=""9781538584644""",0,Blackstone Publishing,Hardcover,286,2019,2019,,2020/07/13,to-read,to-read (#83),to-read,,,,0,0
28245250,The Eyes of the Dragon,Stephen  King,"King, Stephen",,"=""1501141198""","=""9781501141195""",0,Scribner,Kindle Edition,386,2017,1984,,2020/07/13,to-read,to-read (#82),to-read,,,,0,0
28253070,"The Gunslinger (The Dark Tower, #1)",Stephen  King,"King, Stephen",,"=""""","=""""",0,Scribner,ebook,385,2016,1982,,2020/07/13,to-read,to-read (#81),to-read,,,,0,0
1191620,Contact,Carl Sagan,"Sagan, Carl",,"=""0671434004""","=""9780671434007""",0,Simon & Schuster ,Hardcover,432,1985,1985,,2020/07/13,to-read,to-read (#80),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,Vintage Books ,Paperback,288,2010,2005,,2020/07/13,to-read,to-read (#79),to-read,,,,0,0
48890486,Breath: The New Science of a Lost Art,James Nestor,"Nestor, James",,"=""0735213615""","=""9780735213616""",0,Riverhead Books,Hardcover,280,2020,2020,,2020/07/11,to-read,to-read (#78),to-read,,,,0,0
25666046,The North Water,Ian McGuire,"McGuire, Ian",,"=""1627795944""","=""9781627795944""",0,Henry Holt and Co.,Hardcover,255,2016,2016,,2020/07/10,to-read,to-read (#77),to-read,,,,0,0
12082644,A Brief History of Thought: A Philosophical Guide to Living,Luc Ferry,"Ferry, Luc",,"=""0062074245""","=""9780062074249""",0,Harper Perennial,Paperback,304,2011,1996,2020/07/08,2020/06/15,philosophy,philosophy (#8),read,"i think i absorbed like 20% of the info in this book. def not an unbiased history, but he makes his stance obvious",,,1,0
